,index,image_name,tags,haze,primary,agriculture,clear,water,habitation,road,cultivation,slash_burn,cloudy,partly_cloudy,conventional_mine,bare_ground,artisinal_mine,blooming,selective_logging,blow_down
0,29547,train_29547,agriculture clear primary water,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,21421,train_21421,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10266,train_10266,clear primary road water,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
0,18438,train_18438,agriculture clear primary road,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
0,1018,train_1018,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,33670,train_33670,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,14079,train_14079,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1473,train_1473,agriculture clear road,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
0,17726,train_17726,agriculture partly_cloudy primary,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,24661,train_24661,partly_cloudy primary,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,22482,train_22482,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,7573,train_7573,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,18602,train_18602,haze primary,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,20412,train_20412,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,27286,train_27286,bare_ground clear,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0,23823,train_23823,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,23561,train_23561,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,24529,train_24529,agriculture clear primary road,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
0,27454,train_27454,agriculture clear conventional_mine cultivation habitation primary road,0,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0
0,22116,train_22116,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,8797,train_8797,bare_ground clear primary road,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
0,24531,train_24531,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,19387,train_19387,agriculture clear habitation primary road,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
0,8734,train_8734,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,40457,train_40457,clear primary road selective_logging water,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0
0,14889,train_14889,agriculture clear primary,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,20668,train_20668,partly_cloudy primary,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,10226,train_10226,clear habitation primary water,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
0,21677,train_21677,habitation haze primary road,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
0,37776,train_37776,partly_cloudy primary,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,18842,train_18842,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,7987,train_7987,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,9542,train_9542,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,16263,train_16263,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,9879,train_9879,agriculture clear primary,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,20324,train_20324,agriculture clear primary,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,27531,train_27531,clear primary road water,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
0,11829,train_11829,clear cultivation primary,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
0,10695,train_10695,agriculture clear cultivation primary,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
0,19345,train_19345,agriculture clear habitation primary road,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
0,18321,train_18321,clear primary water,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,32870,train_32870,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,33671,train_33671,agriculture partly_cloudy primary road,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
0,779,train_779,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,36800,train_36800,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,32524,train_32524,agriculture haze primary,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,12279,train_12279,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,35726,train_35726,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,11469,train_11469,clear primary water,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,27849,train_27849,agriculture clear primary road,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
0,13162,train_13162,agriculture clear habitation primary road,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
0,2063,train_2063,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,37245,train_37245,bare_ground clear,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0,18382,train_18382,agriculture clear habitation primary road,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
0,2114,train_2114,blooming clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0,15269,train_15269,partly_cloudy primary,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,29588,train_29588,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,26421,train_26421,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,39529,train_39529,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,11890,train_11890,agriculture clear cultivation habitation primary,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
0,13920,train_13920,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,39506,train_39506,agriculture clear primary water,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,10317,train_10317,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1190,train_1190,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,20314,train_20314,agriculture haze primary,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,32037,train_32037,agriculture clear habitation primary road,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
0,8042,train_8042,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,23011,train_23011,agriculture clear habitation primary road,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
0,37659,train_37659,agriculture bare_ground clear,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0,22635,train_22635,agriculture clear habitation primary,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
0,24821,train_24821,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,5163,train_5163,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,40110,train_40110,agriculture partly_cloudy primary road,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
0,7092,train_7092,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,37229,train_37229,agriculture clear primary,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,27116,train_27116,agriculture clear cultivation primary water,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
0,20324,train_20324,agriculture clear primary,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,32738,train_32738,agriculture bare_ground clear primary,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0,33661,train_33661,cloudy,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,15048,train_15048,partly_cloudy primary,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,15591,train_15591,habitation partly_cloudy primary road water,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0
0,32957,train_32957,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,13711,train_13711,partly_cloudy primary,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,19969,train_19969,agriculture clear primary,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,13486,train_13486,cloudy primary,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,677,train_677,agriculture clear habitation primary road,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
0,28832,train_28832,cloudy,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,5060,train_5060,partly_cloudy primary water,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0,18629,train_18629,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,24025,train_24025,agriculture clear primary water,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,620,train_620,partly_cloudy primary,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,17314,train_17314,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,9711,train_9711,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,39695,train_39695,clear primary water,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,15604,train_15604,agriculture haze primary road,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,24952,train_24952,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,37786,train_37786,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,11775,train_11775,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,15413,train_15413,haze primary,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,30629,train_30629,agriculture clear cultivation primary road,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0
0,27210,train_27210,partly_cloudy primary,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,4405,train_4405,haze primary,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,34434,train_34434,bare_ground clear primary water,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
0,18480,train_18480,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,29260,train_29260,bare_ground clear primary,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0,26207,train_26207,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,26507,train_26507,clear primary water,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,30831,train_30831,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,21465,train_21465,agriculture habitation partly_cloudy primary road,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0
0,7885,train_7885,agriculture clear habitation primary road water,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
0,19253,train_19253,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,26542,train_26542,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,7181,train_7181,partly_cloudy primary,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,19933,train_19933,partly_cloudy primary,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,22245,train_22245,agriculture clear primary,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,27295,train_27295,partly_cloudy primary,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,3017,train_3017,agriculture partly_cloudy primary road,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
0,20060,train_20060,bare_ground partly_cloudy primary road,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
0,21172,train_21172,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,21689,train_21689,partly_cloudy primary,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,25893,train_25893,clear habitation primary road water,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
0,29648,train_29648,haze primary,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1169,train_1169,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,6163,train_6163,agriculture haze primary,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,9273,train_9273,haze primary,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10209,train_10209,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,9536,train_9536,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,30847,train_30847,cloudy primary,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,38303,train_38303,agriculture clear primary road,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
0,10961,train_10961,clear cultivation primary,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
0,5546,train_5546,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,15650,train_15650,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1984,train_1984,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,9115,train_9115,haze primary water,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,20855,train_20855,partly_cloudy primary,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,20599,train_20599,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
